Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Regular,FDQ45,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010917052,9.5,185.3608,5
Regular,FDO21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.009763021,11.6,226.2404,5
Low Fat,FDQ24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.073816097,15.7,253.4724,5
Low Fat,FDD14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.170152831,20.7,182.6266,5
Low Fat,NCC54,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.097909084,17.75,242.1196,5
Low Fat,FDZ40,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.040410039,8.935,52.9298,5
Low Fat,NCM07,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.040187877,9.395,85.6908,5
Low Fat,NCP50,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.020676141,17.35,80.6618,5
Low Fat,NCJ31,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.183686937,19.2,241.8196,5
Low Fat,FDF46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.094201618,7.07,115.8834,5
Regular,FDJ36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.128520186,14.5,101.4332,5
Regular,FDZ13,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.153806271,7.84,51.335,5
Regular,FDZ32,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.038210084,7.785,103.8964,5
Regular,FDY40,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.086320509,15.5,48.1692,5
Low Fat,NCM06,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.075713578,7.475,156.4656,5
Low Fat,FDK24,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.101275792,9.195,46.4744,5
Low Fat,NCL05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.047888606,19.6,42.277,5
Low Fat,NCA29,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.027271252,10.5,171.6106,5
Low Fat,NCP30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.032762495,20.5,40.0822,5
Low Fat,FDX58,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.073251428,13.15,181.695,5
Low Fat,FDW24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.062762374,6.8,50.4034,5
Low Fat,FDH48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.101231721,13.5,86.254,5
Low Fat,FDF20,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.055603753,12.85,195.6768,5
Low Fat,FDE22,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.049498821,9.695,158.792,5
Low Fat,FDK55,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.025740259,18.5,89.4172,5
Regular,FDR11,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.142419608,10.5,161.1578,5
Regular,DRC01,Soft Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.019184026,5.92,50.3692,5
Regular,FDE11,Starchy Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.13498355,17.7,184.4924,5
Low Fat,FDW50,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075885921,13.1,165.1158,5
Low Fat,DRJ39,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036474041,20.25,218.3482,5
Low Fat,FDJ46,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04500603,11.1,174.0054,5
Low Fat,DRD24,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.030920531,13.85,141.0154,5
Regular,FDR20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.028238317,20,46.3744,5
Regular,FDS33,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,6.67,90.5514,5
Regular,FDK32,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048738407,null,152.8682,5
Regular,FDO03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.03670437,null,228.1352,5
Regular,FDC59,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05436436,null,63.8168,5
Low Fat,FDS12,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.175103435,9.1,127.5362,5
Low Fat,FDR21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.066922802,19.7,174.837,5
Low Fat,FDT44,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.103195401,16.6,117.8466,5
Regular,FDZ47,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.078912473,null,99.9042,5
Low Fat,FDD08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.03532494,8.3,38.9506,5
Low Fat,FDK02,Canned,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.112859454,12.5,118.344,5
Low Fat,FDR39,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.083929569,20.35,182.4292,5
Low Fat,DRI03,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,6.03,175.1028,5
Low Fat,FDJ52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.017814518,7.145,159.8578,5
Low Fat,NCD42,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.012657494,16.5,36.3506,5
Regular,FDY35,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0160526,17.6,43.9402,5
Regular,FDL13,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.056406129,13.85,231.43,5
Regular,FDD38,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.008204465,16.75,99.8674,5
Regular,FDT26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.068059156,18.85,120.344,5
Regular,FDE28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,9.5,228.4668,5
Regular,FDO46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.014234595,9.6,190.2872,5
Regular,FDP45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.030672457,15.7,253.1724,5
Low Fat,DRH51,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.170213676,null,89.5856,5
Low Fat,FDQ10,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.058092551,null,172.0422,5
Regular,FDH52,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.076868664,null,62.1194,5
Regular,FDC10,Snack Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.127599399,null,118.9098,5
Low Fat,FDY27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031898175,6.38,177.4344,5
Low Fat,FDY52,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.007348286,6.365,62.8536,5
Low Fat,DRN35,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.070247589,8.01,37.5532,5
Low Fat,DRI47,Hard Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020920179,14.7,143.8128,5
Low Fat,NCT05,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.020951848,10.895,255.3672,5
Low Fat,NCW17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.019386234,18,126.8994,5
Low Fat,FDA39,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.012717946,6.32,40.2822,5
Regular,FDS25,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.140008554,6.885,108.7228,5
Regular,FDC16,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0,11.5,88.254,5
Regular,FDN28,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.030247903,5.88,101.399,5
Regular,FDW03,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.024541277,5.63,105.1306,5
Regular,FDJ21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.038528228,16.7,143.9102,5
Low Fat,FDD48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.030219852,10.395,114.7176,5
Low Fat,FDW13,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.098083231,8.5,50.3324,5
Low Fat,DRD15,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.056911107,10.6,233.9642,5
Low Fat,FDH32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.076214289,12.8,96.541,5
Low Fat,NCT05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.020994339,10.895,255.6672,5
Low Fat,NCV30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.066065799,20.2,61.351,5
Low Fat,FDW10,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.071076055,21.2,174.837,5
Regular,FDR36,Baking Goods,2015,OUT045,Tier 2,High,Supermarket Type1,0.121832956,6.715,43.5454,5
Regular,FDV22,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.009958941,14.85,157.963,5
Regular,DRA59,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,8.27,183.2924,5
Low Fat,FDI14,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.089660816,14.1,140.0496,5
Low Fat,FDT37,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035263498,14.15,254.8014,5
Low Fat,FDX25,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.10203648,16.7,180.9292,5
Low Fat,DRH03,Dairy,2017,OUT035,Tier 2,Small,Supermarket Type1,0.035057688,17.25,91.612,5
Low Fat,FDA58,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.103731617,9.395,236.9932,5
Regular,FDY35,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.016024651,17.6,44.0402,5
Regular,FDH05,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.090896452,14.35,231.2984,5
Regular,FDI41,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.062245149,18.5,145.8418,5
Regular,FDO20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.152099033,12.85,252.6382,5
Regular,FDC57,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.054584207,20.1,193.382,5
Regular,FDT27,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.069574013,11.395,232.8616,5
Low Fat,FDT34,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.291826616,9.3,107.1964,5
Low Fat,FDK51,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.008762556,19.85,266.6884,5
Low Fat,FDK04,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.087559621,7.36,55.2588,5
Low Fat,NCZ53,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.040969757,9.6,188.7214,5
Regular,FDV04,Frozen Foods,2011,OUT010,Tier 3,High,Grocery Store,0.251094747,7.825,156.6288,5
Regular,FDR22,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.031069993,19.35,112.0544,5
Low Fat,FDO24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.176069023,11.1,156.7604,5
Low Fat,FDQ24,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.073605395,15.7,249.6724,5
Low Fat,NCH29,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.034445116,5.51,95.8726,5
Low Fat,NCW54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.096333029,7.5,57.8588,5
Low Fat,NCP30,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.032741422,20.5,40.4822,5
Low Fat,FDQ46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.103726639,7.51,110.6544,5
Regular,FDY12,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0,9.8,49.2008,5
Low Fat,FDV38,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.102188428,19.25,54.3956,5
Low Fat,FDJ53,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.071548187,10.5,120.2098,5
Low Fat,FDE22,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029693277,9.695,159.792,5
Regular,FDB14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.103142373,20.25,94.612,5
Regular,FDU58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.029129907,6.61,188.4898,5
Regular,FDB23,Starchy Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.005611367,19.2,226.2062,5
Low Fat,FDK24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.10080442,null,45.4744,5
Low Fat,FDW49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.082152451,null,179.9002,5
Low Fat,NCW53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.030347404,null,192.5162,5
Low Fat,NCB18,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.041091215,null,89.5514,5
Low Fat,DRD13,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.048841794,null,64.7168,5
Low Fat,DRF01,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.174232377,null,146.6102,5
Low Fat,FDN48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.113720344,null,89.9804,5
Regular,FDQ49,Breakfast,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039057677,null,155.963,5
Low Fat,DRG27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.105274111,8.895,39.9138,5
Low Fat,FDD03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079806266,13.3,232.53,5
Low Fat,NCE06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.160178832,null,160.2894,5
Regular,FDJ60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.062655235,19.35,163.3184,5
Low Fat,FDG52,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065576228,13.65,47.7402,5
Low Fat,FDU59,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.096536082,5.78,162.8552,5
Low Fat,DRK39,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.049942926,7.02,82.425,5
Low Fat,DRL60,Soft Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.027101431,8.52,151.7682,5
Regular,FDP48,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.044091657,7.52,182.995,5
Regular,FDA35,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.053921264,14.85,123.0072,5
Regular,FDQ40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.036083537,11.1,175.4712,5
Regular,FDH44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.025912378,19.1,146.8418,5
Regular,FDJ21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03858813,16.7,144.6102,5
Regular,FDW26,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.187443314,null,220.4772,5
Regular,FDB35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.113139486,null,92.9804,5
Low Fat,FDB08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031103357,6.055,159.9578,5
Low Fat,NCY18,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.031151633,7.285,173.2054,5
Low Fat,NCR38,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.113518466,17.25,253.5724,5
Low Fat,FDK21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.010012319,7.905,250.4408,5
Low Fat,DRF01,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0,5.655,147.5102,5
Regular,FDA02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.029722659,14,143.4786,5
Regular,FDD40,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.014793357,20.25,191.5162,5
Regular,FDM58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.079690403,16.85,113.4544,5
Regular,FDU24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.140163038,6.78,94.212,5
Low Fat,FDS55,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.081328781,7.02,150.0734,5
Low Fat,FDC45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.136008489,17,171.7106,5
Low Fat,FDB33,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.014609738,17.75,160.4262,5
Low Fat,NCP42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.016143389,8.51,194.2478,5
Low Fat,NCL54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.082921642,12.6,175.2054,5
Low Fat,NCC07,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.023999722,19.6,104.0964,5
Low Fat,FDP60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.056235142,17.35,102.0016,5
Low Fat,FDI14,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.090185027,14.1,140.2496,5
Low Fat,FDJ07,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.014505108,7.26,118.415,5
Low Fat,DRD12,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.077630199,6.96,90.9146,5
Low Fat,DRN37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.096842096,9.6,166.1158,5
Low Fat,DRF37,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.084809658,17.25,261.191,5
Regular,FDX35,Breads,2015,OUT045,Tier 2,High,Supermarket Type1,0.080072603,5.035,228.2036,5
Regular,FDP28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.080804019,13.65,261.1936,5
Regular,FDJ27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.122123201,17.7,100.7674,5
Regular,FDF10,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.157246634,15.5,145.6418,5
Regular,DRC13,Soft Drinks,2015,OUT045,Tier 2,High,Supermarket Type1,0,8.26,122.573,5
Regular,FDG12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.00636189,6.635,121.1098,5
Regular,FDH50,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.162348584,15,185.9266,5
Regular,FDE20,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.005561798,11.35,168.379,5
Regular,FDU03,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.092095924,18.7,183.3292,5
Low Fat,FDW59,Breads,2017,OUT035,Tier 2,Small,Supermarket Type1,0.020711996,13.15,82.7566,5
Low Fat,FDN32,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015557426,17.5,184.7266,5
Low Fat,NCK05,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.077439606,20.1,60.6536,5
Low Fat,NCJ18,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.163910938,12.35,119.2124,5
Low Fat,NCE30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.09911729,16,210.7902,5
Low Fat,FDX15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.156269303,17.2,159.6578,5
Low Fat,FDT22,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.11207602,10.395,58.022,5
Low Fat,FDR10,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.010037996,17.6,163.5552,5
Low Fat,DRL49,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.056418354,13.15,142.4812,5
Regular,FDF29,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.019930418,15.1,131.531,5
Regular,FDT56,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.115570552,16,57.5246,5
Regular,FDN03,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.015087112,9.8,250.1408,5
Regular,FDW15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.055103174,15.35,149.7734,5
Regular,FDU51,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.096495426,20.2,175.6028,5
Low Fat,FDQ14,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.103419257,9.27,148.105,5
Low Fat,DRC27,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.097251621,13.8,245.7802,5
Low Fat,DRE03,Dairy,2011,OUT010,Tier 3,Medium,Grocery Store,0.040550868,19.6,45.5718,5
Low Fat,FDD16,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.060847634,20.5,75.0696,5
Low Fat,FDT03,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.016735879,21.25,185.2608,5
Low Fat,FDG47,Starchy Foods,2011,OUT010,Tier 3,High,Grocery Store,0.116527666,12.8,261.4252,5
Low Fat,FDG60,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.060649213,20.35,232.7616,5
Low Fat,FDS37,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.031918284,7.655,117.7492,5
Low Fat,DRG03,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.061934991,14.5,154.4998,5
Low Fat,FDB52,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.030410273,17.75,256.0672,5
Low Fat,FDK40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0,7.035,262.691,5
Low Fat,NCZ53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.024456797,9.6,186.6214,5
Low Fat,NCP41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.016197216,16.6,108.8596,5
Low Fat,NCY42,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.015149955,6.38,144.047,5
Low Fat,NCO43,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.047059016,5.5,100.1016,5
Low Fat,FDR46,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.139301634,16.85,144.976,5
Low Fat,FDW58,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.007546808,20.75,104.1622,5
Regular,FDX36,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.128176489,9.695,224.8404,5
Regular,FDM01,Breakfast,2014,OUT013,Tier 3,High,Supermarket Type1,0.094488485,7.895,100.7332,5
Regular,FDX38,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.0481669,10.5,48.8376,5
Regular,FDH53,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.019183756,20.5,83.7592,5
Regular,FDZ51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.054507422,11.3,96.3094,5
Regular,FDV57,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.065841719,15.25,179.866,5
Low Fat,FDV59,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,13.35,217.6166,5
Low Fat,FDT02,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02429329,12.6,33.4874,5
Low Fat,DRD60,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037383778,15.7,179.7634,5
Low Fat,FDV35,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.128728258,19.5,155.3314,5
Low Fat,FDK14,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.041273236,6.98,82.4934,5
Low Fat,DRC27,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.058339153,13.8,246.2802,5
Low Fat,NCL53,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.036382524,7.5,177.9028,5
Regular,FDK26,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032308482,5.46,185.224,5
Low Fat,FDD57,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022291121,null,93.6094,5
Low Fat,FDM03,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,null,109.1938,5
Low Fat,FDX15,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.155541973,null,159.7578,5
Low Fat,FDA10,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.141129263,null,121.6072,5
Regular,FDE56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.158424516,null,62.4194,5
Regular,FDS31,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.043978369,null,178.4318,5
Regular,FDW39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.036731658,null,177.237,5
Regular,FDY39,Meat,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,null,182.0608,5
Low Fat,NCQ53,Health and Hygiene,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.018813776,null,235.259,5
Regular,FDG35,Starchy Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.007006883,null,173.5738,5
Low Fat,NCP18,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.028760013,12.15,151.4708,4
Low Fat,FDY58,Snack Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.040081193,11.65,227.0694,4
Low Fat,NCB06,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.082316506,17.6,160.692,4
Regular,FDB36,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0,5.465,132.5626,4
Low Fat,FDR47,Breads,2011,OUT010,Tier 3,Small,Grocery Store,0,17.85,196.5794,4
Regular,FDE10,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.150554711,6.67,130.0626,4
Low Fat,DRK01,Soft Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.06105276,7.63,95.4436,4
Low Fat,FDL22,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036390174,16.85,91.4488,4
Low Fat,NCD06,Household,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.099729888,13,46.306,4
Low Fat,NCT54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.119721451,8.695,95.5094,4
Low Fat,FDV59,Breads,2015,OUT045,Tier 2,Small,Supermarket Type1,0.048124443,13.35,216.7166,4
Regular,FDY49,Canned,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.011953902,null,164.5184,4
Low Fat,NCS54,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.009984847,13.6,175.437,4
Low Fat,NCJ54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.059776237,null,231.7642,4
Low Fat,FDR60,Baking Goods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.131152799,14.3,78.6328,4
Regular,FDJ20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100330684,20.7,123.4388,4
Low Fat,DRM11,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.066014596,6.57,259.7278,4
